,COUNTRY,Year,Current_Account_Balance,Exchange_Rate,Total_Liabilities,Total_Reserves
26,Brazil,2021,-40409.04595650999,5.39440078962503,1580492.967676464,362210.0791813173
27,Brazil,2022,-42156.80588137002,5.163970291021112,1751888.131742315,324673.4497814004
28,Brazil,2023,-27932.78228675497,4.99437976287199,2087855.419115175,355021.395541562
29,Brazil,2024,-61194.26683739999,5.388934905709595,1775538.080843389,329732.4438133777
30,"China, People's Republic of",2010,237810.3896079548,6.770269028709395,2640566.966324437,2913711.711315375
31,"China, People's Republic of",2011,136096.7615775501,6.46146132655007,3220300.798343719,3254674.06356349
32,"China, People's Republic of",2012,215391.7474694416,6.312332826831862,3557250.559628973,3387512.973773815
33,"China, People's Republic of",2013,148203.9498798773,6.19575834608231,4202137.221157565,3880368.26525293
34,"China, People's Republic of",2014,236046.577873629,6.14343409448867,4873558.676895849,3900039.302991087
35,"China, People's Republic of",2015,293022.3170355471,6.227488672984548,4524314.114557125,3405253.363888138
36,"China, People's Republic of",2016,191337.0359419939,6.644477829446805,4593957.179865483,3097658.421378402
37,"China, People's Republic of",2017,188676.1261211619,6.758755086335972,5126292.360874089,3235681.60721304
38,"China, People's Republic of",2018,24130.90918449854,6.615957177354392,5325231.38951296,3168216.331199085
39,"China, People's Republic of",2019,102909.8760083877,6.908385009929012,5546830.105014799,3222894.57803636
40,"China, People's Republic of",2020,248835.64393604,6.900767269449248,6592281.755508016,3357240.875433715
41,"China, People's Republic of",2021,352885.75463463,6.44897518024316,7335579.665625425,3427931.394628851
42,"China, People's Republic of",2022,443374.2571164299,6.737158112371188,6793898.67730515,3306839.412813779
43,"China, People's Republic of",2023,263382.35336819,7.083998423436308,6773958.887229906,3449544.415518985
44,"China, People's Republic of",2024,423919.2147163,7.197491107899168,6920945.413839906,3456024.808739121
45,France,2010,,,7919079.478417723,165852.0880711885
46,France,2011,,,7920728.727381057,168490.2911435893
47,France,2012,,,8423310.783526951,184521.8256037497
48,France,2013,,,8875025.32898588,145161.1081786619
49,France,2014,,,8648624.483820993,143977.1043334337
50,France,2015,,,7754893.846896145,138198.984338294
51,France,2016,,,7784417.5197952,145866.0687701827
52,France,2017,,,8849081.913003648,156322.4311092472
53,France,2018,,,8704071.034650939,166483.4001967897
54,France,2019,,,9476245.885363674,189006.4352954885
55,France,2020,,,11073676.06007685,224236.4178677114
